kd_upt;nama_upt;nama_upt_singkat;Provinsi
1000;Kantor Pusat;Kantor Pusat;
1000;Balai Besar Uji Standar Karantina Hewan, Ikan, dan Tumbuhan;BBUSKHIT;
1000;Balai Uji Terap Teknik dan Metode Karantina Hewan, Ikan, dan Tumbuhan;BUTTKHIT;
1100;Balai Karantina Hewan, Ikan, dan Tumbuhan Aceh;BKHIT Aceh;Aceh
1200;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Sumatera Utara;BBKHIT Sumatera Utara;Sumatera Utara
1300;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Barat;BKHIT Sumatera Barat;Sumatera Barat
1400;Balai Karantina Hewan, Ikan, dan Tumbuhan Riau;BKHIT Riau;Riau
1500;Balai Karantina Hewan, Ikan, dan Tumbuhan Jambi;BKHIT Jambi;Jambi
1600;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;BKHIT Sumatera Selatan;Sumatera Selatan
1700;Balai Karantina Hewan, Ikan, dan Tumbuhan Bengkulu;BKHIT Bengkulu;Bengkulu
1800;Balai Karantina Hewan, Ikan, dan Tumbuhan Lampung;BKHIT Lampung;Lampung
1900;Balai Karantina Hewan, Ikan, dan Tumbuhan Kepulauan Bangka Belitung;BKHIT Kepulauan Bangka Belitung;Kepulauan Bangka Belitung
2100;Balai Karantina Hewan, Ikan, dan Tumbuhan Kepulauan Riau;BKHIT Kepulauan Riau;Kepulauan Riau
3100;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan DKI Jakarta;BBKHIT DKI Jakarta;DKI Jakarta
3200;Balai Karantina Hewan, Ikan, dan Tumbuhan Jawa Barat;BKHIT Jawa Barat;Jawa Barat
3300;Balai Karantina Hewan, Ikan, dan Tumbuhan Jawa Tengah;BKHIT Jawa Tengah;Jawa Tengah
3400;Balai Karantina Hewan, Ikan, dan Tumbuhan Daerah Istimewa Yogyakarta;BKHIT Daerah Istimewa Yogyakarta;Daerah Istimewa Yogyakarta
3500;Balai Karantina Hewan, Ikan, dan Tumbuhan Jawa Timur;BKHIT Jawa Timur;Jawa Timur
3600;Balai Karantina Hewan, Ikan, dan Tumbuhan Banten;BKHIT Banten;Banten
5100;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Bali;BBKHIT Bali;Bali
5200;Balai Karantina Hewan, Ikan, dan Tumbuhan Nusa Tenggara Barat;BKHIT Nusa Tenggara Barat;Nusa Tenggara Barat
5300;Balai Karantina Hewan, Ikan, dan Tumbuhan Nusa Tenggara Timur;BKHIT Nusa Tenggara Timur;Nusa Tenggara Timur
6100;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Barat;BKHIT Kalimantan Barat;Kalimantan Barat
6200;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Tengah;BKHIT Kalimantan Tengah;Kalimantan Tengah
6300;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Selatan;BKHIT Kalimantan Selatan;Kalimantan Selatan
6400;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Timur;BBKHIT Kalimantan Timur;Kalimantan Timur
6500;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Utara;BKHIT Kalimantan Utara;Kalimantan Utara
7100;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Utara;BKHIT Sulawesi Utara;Sulawesi Utara
7200;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Tengah;BKHIT Sulawesi Tengah;Sulawesi Tengah
7300;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Selatan;BBKHIT Sulawesi Selatan;Sulawesi Selatan
7400;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Tenggara;BKHIT Sulawesi Tenggara;Sulawesi Tenggara
7500;Balai Karantina Hewan, Ikan, dan Tumbuhan Gorontalo;BKHIT Gorontalo;Gorontalo
7600;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Barat;BKHIT Sulawesi Barat;Sulawesi Barat
8100;Balai Karantina Hewan, Ikan, dan Tumbuhan Maluku;BKHIT Maluku;Maluku
8200;Balai Karantina Hewan, Ikan, dan Tumbuhan Maluku Utara;BKHIT Maluku Utara;Maluku Utara
9100;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Papua;BBKHIT Papua;Papua
9200;Balai Karantina Hewan, Ikan, dan Tumbuhan Papua Barat;BKHIT Papua Barat;Papua Barat
9300;Balai Karantina Hewan, Ikan, dan Tumbuhan Papua Selatan;BKHIT Papua Selatan;Papua Selatan
9400;Balai Karantina Hewan, Ikan, dan Tumbuhan Papua Tengah;BKHIT Papua Tengah;Papua Tengah
9500;Balai Karantina Hewan, Ikan, dan Tumbuhan Papua Pegunungan;BKHIT Papua Pegunungan;Papua Pegunungan
9600;Balai Karantina Hewan, Ikan, dan Tumbuhan Papua Barat Daya;BKHIT Papua Barat Daya;Papua Barat Daya
