jns_karantina;komoditas;Satuan;Harga;komsat
H;Amphibia Lainnya;ekor;30000;Amphibia Lainnya/ekor
H;Angsa;kilogram;50000;Angsa/kilogram
H;Anjing;ekor;30000;Anjing/ekor
H;Antigen;box;20000;Antigen/box
H;Antigen;kemasan;20000;Antigen/kemasan
H;Antigen;kilogram;50000;Antigen/kilogram
H;Antigen;vial;20000;Antigen/vial
H;Anti-Serum;botol;20000;Anti-Serum/botol
H;Anti-Serum;box;20000;Anti-Serum/box
H;Anti-Serum;gram;20000;Anti-Serum/gram
H;Anti-Serum;kemasan;20000;Anti-Serum/kemasan
H;Anti-Serum;kilogram;50000;Anti-Serum/kilogram
H;Anti-Serum;vial;20000;Anti-Serum/vial
H;Ayam;ekor;30000;Ayam/ekor
H;Ayam;kilogram;50000;Ayam/kilogram
H;Ayam Bangkok;ekor;30000;Ayam Bangkok/ekor
H;Ayam Ketawa;ekor;30000;Ayam Ketawa/ekor
H;Babi;ekor;30000;Babi/ekor
H;Bahan Biologis Lainnya;bag;20000;Bahan Biologis Lainnya/bag
H;Bahan Biologis Lainnya;botol;20000;Bahan Biologis Lainnya/botol
H;Bahan Biologis Lainnya;box;20000;Bahan Biologis Lainnya/box
H;Bahan Biologis Lainnya;gram;20000;Bahan Biologis Lainnya/gram
H;Bahan Biologis Lainnya;kemasan;20000;Bahan Biologis Lainnya/kemasan
H;Bahan Biologis Lainnya;kilogram;50000;Bahan Biologis Lainnya/kilogram
H;Bahan Biologis Lainnya;kit;20000;Bahan Biologis Lainnya/kit
H;Bahan Biologis Lainnya;lembar;20000;Bahan Biologis Lainnya/lembar
H;Bahan Biologis Lainnya;liter;20000;Bahan Biologis Lainnya/liter
H;Bahan Biologis Lainnya;milligram;20000;Bahan Biologis Lainnya/milligram
H;Bahan Biologis Lainnya;millilitre;20000;Bahan Biologis Lainnya/millilitre
H;Bahan Biologis Lainnya;set;20000;Bahan Biologis Lainnya/set
H;Bahan Biologis Lainnya;vial;20000;Bahan Biologis Lainnya/vial
H;Bahan Diagnostik Lainnya;bag;20000;Bahan Diagnostik Lainnya/bag
H;Bahan Diagnostik Lainnya;botol;20000;Bahan Diagnostik Lainnya/botol
H;Bahan Diagnostik Lainnya;box;20000;Bahan Diagnostik Lainnya/box
H;Bahan Diagnostik Lainnya;carton;20000;Bahan Diagnostik Lainnya/carton
H;Bahan Diagnostik Lainnya;drum;20000;Bahan Diagnostik Lainnya/drum
H;Bahan Diagnostik Lainnya;each;20000;Bahan Diagnostik Lainnya/each
H;Bahan Diagnostik Lainnya;gram;20000;Bahan Diagnostik Lainnya/gram
H;Bahan Diagnostik Lainnya;kemasan;20000;Bahan Diagnostik Lainnya/kemasan
H;Bahan Diagnostik Lainnya;kilogram;50000;Bahan Diagnostik Lainnya/kilogram
H;Bahan Diagnostik Lainnya;kit;20000;Bahan Diagnostik Lainnya/kit
H;Bahan Diagnostik Lainnya;lembar;20000;Bahan Diagnostik Lainnya/lembar
H;Bahan Diagnostik Lainnya;liter;20000;Bahan Diagnostik Lainnya/liter
H;Bahan Diagnostik Lainnya;microlitre;20000;Bahan Diagnostik Lainnya/microlitre
H;Bahan Diagnostik Lainnya;vial;20000;Bahan Diagnostik Lainnya/vial
H;Bahan Industri Berbasis Hewan/Unggas Lainnya;botol;20000;Bahan Industri Berbasis Hewan/Unggas Lainnya/botol
H;Bahan Industri Berbasis Hewan/Unggas Lainnya;box;20000;Bahan Industri Berbasis Hewan/Unggas Lainnya/box
H;Bahan Industri Berbasis Hewan/Unggas Lainnya;buah/butir/batang;20000;Bahan Industri Berbasis Hewan/Unggas Lainnya/buah/butir/batang
H;Bahan Industri Berbasis Hewan/Unggas Lainnya;kemasan;20000;Bahan Industri Berbasis Hewan/Unggas Lainnya/kemasan
H;Bahan Industri Berbasis Hewan/Unggas Lainnya;kilogram;50000;Bahan Industri Berbasis Hewan/Unggas Lainnya/kilogram
H;Bahan Industri Berbasis Hewan/Unggas Lainnya;KOLONI;20000;Bahan Industri Berbasis Hewan/Unggas Lainnya/KOLONI
H;Bahan Industri Berbasis Hewan/Unggas Lainnya;vial;20000;Bahan Industri Berbasis Hewan/Unggas Lainnya/vial
H;Bahan Pakan Berbasis Hewan;kemasan;20000;Bahan Pakan Berbasis Hewan/kemasan
H;Bahan Pakan Berbasis Hewan;kilogram;50000;Bahan Pakan Berbasis Hewan/kilogram
H;Bahan Pakan Ternak / Unggas Lainnya;ekor;30000;Bahan Pakan Ternak / Unggas Lainnya/ekor
H;Bahan Pakan Ternak / Unggas Lainnya;gram;20000;Bahan Pakan Ternak / Unggas Lainnya/gram
H;Bahan Pakan Ternak / Unggas Lainnya;kemasan;20000;Bahan Pakan Ternak / Unggas Lainnya/kemasan
H;Bahan Pakan Ternak / Unggas Lainnya;kilogram;50000;Bahan Pakan Ternak / Unggas Lainnya/kilogram
H;Bahan Pakan Ternak / Unggas Lainnya;ton;20000;Bahan Pakan Ternak / Unggas Lainnya/ton
H;Bakteri Eschericia Coli;kilogram;50000;Bakteri Eschericia Coli/kilogram
H;Bebek;kilogram;50000;Bebek/kilogram
H;Bulu;kemasan;20000;Bulu/kemasan
H;Bulu;kilogram;50000;Bulu/kilogram
H;Burung Beo;ekor;30000;Burung Beo/ekor
H;Burung Kakatua;ekor;30000;Burung Kakatua/ekor
H;Burung Kicau Lainnya;ekor;30000;Burung Kicau Lainnya/ekor
H;Burung Lovebird;ekor;30000;Burung Lovebird/ekor
H;Burung Merpati;ekor;30000;Burung Merpati/ekor
H;Burung Murai Batu;ekor;30000;Burung Murai Batu/ekor
H;Burung Parkit;ekor;30000;Burung Parkit/ekor
H;Burung Puyuh;ekor;30000;Burung Puyuh/ekor
H;Daging Ayam;box;20000;Daging Ayam/box
H;Daging Ayam;kilogram;50000;Daging Ayam/kilogram
H;Daging Ayam Beku;kilogram;50000;Daging Ayam Beku/kilogram
H;Daging Babi;gram;20000;Daging Babi/gram
H;Daging Babi;kemasan;20000;Daging Babi/kemasan
H;Daging Babi;kilogram;50000;Daging Babi/kilogram
H;Daging Bebek / Itik;kilogram;50000;Daging Bebek / Itik/kilogram
H;Daging Bebek / Itik Beku;kilogram;50000;Daging Bebek / Itik Beku/kilogram
H;Daging Domba;kilogram;50000;Daging Domba/kilogram
H;Daging Hewan Lainnya;kemasan;20000;Daging Hewan Lainnya/kemasan
H;Daging Hewan Lainnya;kilogram;50000;Daging Hewan Lainnya/kilogram
H;Daging Kambing;kilogram;50000;Daging Kambing/kilogram
H;Daging Kerbau;kilogram;50000;Daging Kerbau/kilogram
H;Daging Kerbau;ton;20000;Daging Kerbau/ton
H;Daging Kuda;kilogram;50000;Daging Kuda/kilogram
H;Daging Olahan Babi;gram;20000;Daging Olahan Babi/gram
H;Daging Olahan Babi;kilogram;50000;Daging Olahan Babi/kilogram
H;Daging Olahan Sapi;kilogram;50000;Daging Olahan Sapi/kilogram
H;Daging Olahan Unggas;kilogram;50000;Daging Olahan Unggas/kilogram
H;Daging Sapi;kilogram;50000;Daging Sapi/kilogram
H;Daging Sapi;ton;20000;Daging Sapi/ton
H;Daging Sapi Cincang;kilogram;50000;Daging Sapi Cincang/kilogram
H;Daging Unggas Lainnya;kilogram;50000;Daging Unggas Lainnya/kilogram
H;DOC;ekor;30000;DOC/ekor
H;Domba;ekor;30000;Domba/ekor
H;Elang;ekor;30000;Elang/ekor
H;Gelatin;kemasan;20000;Gelatin/kemasan
H;Gelatin;kilogram;50000;Gelatin/kilogram
H;Harimau;ekor;30000;Harimau/ekor
H;Hati;kilogram;50000;Hati/kilogram
H;Hewan Besar Ternak Lainnya;ekor;30000;Hewan Besar Ternak Lainnya/ekor
H;Hewan Besar Ternak Lainnya;kilogram;50000;Hewan Besar Ternak Lainnya/kilogram
H;Hewan Kecil Ternak Lainnya;ekor;30000;Hewan Kecil Ternak Lainnya/ekor
H;Hewan Kecil Ternak Lainnya;kilogram;50000;Hewan Kecil Ternak Lainnya/kilogram
H;Hewan Primata Percobaan Lainnya;ekor;30000;Hewan Primata Percobaan Lainnya/ekor
H;Hormon;kemasan;20000;Hormon/kemasan
H;Hormon;kilogram;50000;Hormon/kilogram
H;Hormon;tube;20000;Hormon/tube
H;Invertebrata yang termasuk Satwa Liar Lainnya;ekor;30000;Invertebrata yang termasuk Satwa Liar Lainnya/ekor
H;Jerohan Hewan Lainnya;kilogram;50000;Jerohan Hewan Lainnya/kilogram
H;Jerohan Sapi;gram;20000;Jerohan Sapi/gram
H;Jerohan Sapi;kilogram;50000;Jerohan Sapi/kilogram
H;Jerohan Sapi;ton;20000;Jerohan Sapi/ton
H;Kambing;ekor;30000;Kambing/ekor
H;Kasein;kilogram;50000;Kasein/kilogram
H;Katak;ekor;30000;Katak/ekor
H;Keju;bag;20000;Keju/bag
