bulan;nama_bulan;jumlah_transaksi;rata_rata_sla_menit;rata_rata_sla_jam;karantina
1;January;1717;1501.07;25.02;Hewan
2;February;1257;2404.49;40.07;Hewan
3;March;1402;2363.28;39.39;Hewan
4;April;1357;2752.7;45.88;Hewan
5;May;1503;2457.56;40.96;Hewan
6;June;1648;2978.28;49.64;Hewan
7;July;1628;2656.04;44.27;Hewan
8;August;1516;3209.05;53.48;Hewan
1;January;14709;6243.94;104.07;Tumbuhan
2;February;13884;6427.09;107.12;Tumbuhan
3;March;11891;6715.63;111.93;Tumbuhan
4;April;15576;6573.62;109.56;Tumbuhan
5;May;14034;7278.95;121.32;Tumbuhan
6;June;15021;6326.99;105.45;Tumbuhan
7;July;17367;6229.65;103.83;Tumbuhan
8;August;15487;6740.88;112.35;Tumbuhan
1;January;12095;437.13;7.29;Ikan
2;February;10438;420.47;7.01;Ikan
3;March;10033;435.9;7.26;Ikan
4;April;11410;430.39;7.17;Ikan
5;May;11717;346.83;5.78;Ikan
6;June;11967;340.53;5.68;Ikan
7;July;11832;345.7;5.76;Ikan
8;August;11100;368.96;6.15;Ikan
