bulan;nama_bulan;jumlah_transaksi;rata_rata_sla_menit;rata_rata_sla_jam;karantina
1;January;2746;389.48;6.49;Hewan
2;February;2049;736.37;12.27;Hewan
3;March;2182;792;13.2;Hewan
4;April;3064;921.1;15.35;Hewan
5;May;2766;784.23;13.07;Hewan
6;June;3262;752.92;12.55;Hewan
7;July;3695;798.12;13.3;Hewan
8;August;3634;610.22;10.17;Hewan
1;January;9232;687.62;11.46;Tumbuhan
2;February;7433;855.31;14.26;Tumbuhan
3;March;7428;591.03;9.85;Tumbuhan
4;April;9491;1027.92;17.13;Tumbuhan
5;May;8155;779.49;12.99;Tumbuhan
6;June;7852;780.48;13.01;Tumbuhan
7;July;8006;559.67;9.33;Tumbuhan
8;August;7684;435.37;7.26;Tumbuhan
1;January;419;3583.19;59.72;Ikan
2;February;568;3753.49;62.56;Ikan
3;March;646;5770.91;96.18;Ikan
4;April;913;8143.44;135.72;Ikan
5;May;825;5319.76;88.66;Ikan
6;June;759;3650.38;60.84;Ikan
7;July;837;4154.41;69.24;Ikan
8;August;864;3637.84;60.63;Ikan
