id_area;no1;no2;Latitude_Decimal;Longitude_Decimal
1;571;1;5,609444;95,365278
1;571;2;5,805278;95,375833
1;571;3;5,906944;95,217222
1;571;4;6,416111;94,49
1;571;5;6,641667;94,633333
1;571;6;6,723333;94,678333
1;571;7;7,04;94,926944
1;571;8;7,603889;95,377222
1;571;9;8,055556;95,676944
1;571;10;8,221389;95,935556
1;571;11;7,125833;96,625278
1;571;12;6,629722;97,764444
1;571;13;5,808056;98,396667
1;571;14;5,383889;98,9325
1;571;15;5,300556;99,015556
1;571;16;4,889722;99,315833
1;571;17;4,578889;99,669722
1;571;18;4,344722;99,87
1;571;19;4,106944;99,953889
1;571;20;4,043611;99,912778
1;571;21;3,976389;99,898333
1;571;22;3,901667;99,91
1;571;23;3,847222;99,939444
1;571;24;3,804444;99,984167
1;571;25;3,7775;100,04
1;571;26;3,768889;100,094167
1;571;27;3,775278;100,148889
1;571;28;3,784167;100,175
1;571;29;3,615278;100,316667
1;571;30;3,531667;100,4525
1;571;31;3,31;100,709167
1;571;32;3,020556;100,819722
1;571;33;2,86;101,003333
1;571;34;2,691667;101,201667
1;571;35;2,256667;101,775
1;571;36;1,92;102,223333
1;571;37;1,686667;102,583333
1;571;38;1,318333;103,035
1;571;39;1,325;103,065
1;571;40;1,25;103,38
1;571;41;1,225;103,421944
1;571;42;1,187778;103,346111
1;571;43;1,141667;103,294722
1;571;44;1,119722;103,289444
1;571;45;1,101111;103,289722
1;571;46;1,088611;103,286111
1;571;47;0,856667;103,156667
1;571;48;0,841944;103,149167
1;571;49;0,741389;103,114167
1;571;50;0,72;103,085556
1;571;51;0,691667;103,0275
1;571;52;0,691111;102,992222
1;571;53;0,724722;102,898611
2;572;1;-6,836111;105,240556
2;572;1;-6,836111;105,240556
2;572;2;-8,870556;102,570278
2;572;2;-8,870556;102,570278
2;572;3;-8,86;102,074444
2;572;4;-8,783611;101,584722
2;572;5;-8,6425;101,109444
2;572;6;-8,495833;100,767778
