id_area;no1;no2;latitute;longitute;Latitude_Decimal;Longitude_Decimal
1;571;1;"5°36'34""N";"95°21'55""E";5,609444;95,365278
1;571;2;"5°48'19""N";"95°22'33""E";5,805278;95,375833
1;571;3;"5°54'25""N";"95°13'2""E";5,906944;95,217222
1;571;4;"6°24'58""N";"94°29'24""E";6,416111;94,49
1;571;5;"6°38'30""N";"94°37'60""E";6,641667;94,633333
1;571;6;"6°43'24""N";"94°40'42""E";6,723333;94,678333
1;571;7;"7°2'24""N";"94°55'37""E";7,04;94,926944
1;571;8;"7°36'14""N";"95°22'38""E";7,603889;95,377222
1;571;9;"8°3'20""N";"95°40'37""E";8,055556;95,676944
1;571;10;"8°13'17""N";"95°56'8""E";8,221389;95,935556
1;571;11;"7°7'33""N";"96°37'31""E";7,125833;96,625278
1;571;12;"6°37'47""N";"97°45'52""E";6,629722;97,764444
1;571;13;"5°48'29""N";"98°23'48""E";5,808056;98,396667
1;571;14;"5°23'2""N";"98°55'57""E";5,383889;98,9325
1;571;15;"5°18'2""N";"99°0'56""E";5,300556;99,015556
1;571;16;"4°53'23""N";"99°18'57""E";4,889722;99,315833
1;571;17;"4°34'44""N";"99°40'11""E";4,578889;99,669722
1;571;18;"4°20'41""N";"99°52'12""E";4,344722;99,87
1;571;19;"4°6'25""N";"99°57'14""E";4,106944;99,953889
1;571;20;"4°2'37""N";"99°54'46""E";4,043611;99,912778
1;571;21;"3°58'35""N";"99°53'54""E";3,976389;99,898333
1;571;22;"3°54'6""N";"99°54'36""E";3,901667;99,91
1;571;23;"3°50'50""N";"99°56'22""E";3,847222;99,939444
1;571;24;"3°48'16""N";"99°59'3""E";3,804444;99,984167
1;571;25;"3°46'39""N";"100°2'24""E";3,7775;100,04
1;571;26;"3°46'8""N";"100°5'39""E";3,768889;100,094167
1;571;27;"3°46'31""N";"100°8'56""E";3,775278;100,148889
1;571;28;"3°47'3""N";"100°10'30""E";3,784167;100,175
1;571;29;"3°36'55""N";"100°18'60""E";3,615278;100,316667
1;571;30;"3°31'54""N";"100°27'9""E";3,531667;100,4525
1;571;31;"3°18'36""N";"100°42'33""E";3,31;100,709167
1;571;32;"3°1'14""N";"100°49'11""E";3,020556;100,819722
1;571;33;"2°51'36""N";"101°0'12""E";2,86;101,003333
1;571;34;"2°41'30""N";"101°12'6""E";2,691667;101,201667
1;571;35;"2°15'24""N";"101°46'30""E";2,256667;101,775
1;571;36;"1°55'12""N";"102°13'24""E";1,92;102,223333
1;571;37;"1°41'12""N";"102°34'60""E";1,686667;102,583333
1;571;38;"1°19'6""N";"103°2'6""E";1,318333;103,035
1;571;39;"1°19'30""N";"103°3'54""E";1,325;103,065
1;571;40;"1°15'0""N";"103°22'48""E";1,25;103,38
1;571;41;"1°13'30""N";"103°25'19""E";1,225;103,421944
1;571;42;"1°11'16""N";"103°20'46""E";1,187778;103,346111
1;571;43;"1°8'30""N";"103°17'41""E";1,141667;103,294722
1;571;44;"1°7'11""N";"103°17'22""E";1,119722;103,289444
1;571;45;"1°6'4""N";"103°17'23""E";1,101111;103,289722
1;571;46;"1°5'19""N";"103°17'10""E";1,088611;103,286111
1;571;47;"0°51'24""N";"103°9'24""E";0,856667;103,156667
1;571;48;"0°50'31""N";"103°8'57""E";0,841944;103,149167
1;571;49;"0°44'29""N";"103°6'51""E";0,741389;103,114167
1;571;50;"0°43'12""N";"103°5'8""E";0,72;103,085556
1;571;51;"0°41'30""N";"103°1'39""E";0,691667;103,0275
1;571;52;"0°41'28""N";"102°59'32""E";0,691111;102,992222
1;571;53;"0°43'29""N";"102°53'55""E";0,724722;102,898611
2;572;1;"6°50'10""S";"105°14'26""E";-6,836111;105,240556
2;572;1;"6°50'10""S";"105°14'26""E";-6,836111;105,240556
2;572;2;"8°52'14""S";"102°34'13""E";-8,870556;102,570278
2;572;2;"8°52'14""S";"102°34'13""E";-8,870556;102,570278
2;572;3;"8°51'36""S";"102°4'28""E";-8,86;102,074444
